Child_ID,Age,Parental_Education,Screen_Time_Hours,Play_Time_Hours,Sleep_Hours,Cognitive_Score
5001,3,Bachelors,0.7,2.8,7.3,7.16
5002,4,Bachelors,2.9,0.9,9.0,8.53
5003,7,Bachelors,2.1,0.7,11.0,9.02
5004,4,PhD,2.9,0.3,6.9,8.38
5005,11,Bachelors,5.5,0.4,9.3,8.77
5006,6,PhD,2.9,0.2,10.3,9.92
5007,11,Masters,0.1,0.3,11.2,8.43
5008,3,Masters,2.6,1.3,11.6,8.73
5009,3,PhD,4.9,1.0,10.7,9.71
5010,3,High School,4.7,2.1,9.9,8.06
5011,6,PhD,3.1,2.6,8.6,7.08
5012,11,Masters,1.5,2.4,6.7,8.63
5013,10,Masters,2.8,1.6,10.3,8.49
5014,9,PhD,3.4,0.3,12.0,11.0
5015,3,PhD,6.0,2.1,10.4,8.89
5016,5,PhD,3.9,1.1,6.1,7.15
5017,11,Masters,4.2,0.3,9.0,7.48
5018,11,High School,2.9,2.5,9.7,10.64
5019,7,PhD,2.1,1.0,10.1,9.28
5020,8,Masters,4.9,0.7,10.3,7.94
5021,8,PhD,3.0,2.6,9.3,8.11
5022,6,Masters,6.0,2.7,7.3,7.46
5023,3,PhD,2.7,1.0,11.7,8.46
5024,7,Masters,0.4,1.1,10.2,10.36
5025,3,PhD,4.1,1.7,7.4,5.84
5026,3,Bachelors,0.3,2.2,7.9,8.62
5027,7,PhD,1.5,0.2,11.5,9.97
5028,7,Masters,2.1,1.8,11.3,9.98
5029,9,PhD,4.4,2.9,8.4,7.63
5030,4,High School,3.0,0.8,6.2,7.78
5031,8,PhD,0.2,2.7,6.3,7.4
5032,4,PhD,3.7,2.9,7.7,8.19
5033,7,PhD,2.5,0.8,9.8,9.31
5034,6,High School,5.5,2.3,9.5,8.85
5035,7,High School,3.0,0.7,9.8,7.85
5036,4,High School,4.3,2.2,10.3,10.12
5037,10,Bachelors,1.3,2.4,6.1,7.99
5038,10,High School,4.6,0.7,6.6,7.67
5039,8,Bachelors,4.3,2.1,8.2,9.58
5040,5,PhD,5.4,2.4,6.9,8.52
5041,6,Bachelors,0.2,1.1,6.5,9.01
5042,3,PhD,2.7,0.5,9.8,8.72
5043,11,Bachelors,4.1,0.3,10.9,9.42
5044,7,High School,0.6,1.7,10.5,9.8
5045,10,High School,2.5,2.9,10.9,8.52
5046,5,Bachelors,5.7,2.5,10.0,8.91
5047,6,Bachelors,2.6,1.3,10.4,9.29
