child_id,age,gender,language_level,cognitive_level,parental_support,session_id,timestamp,activity_type,task_difficulty,task_completion_time,success,hints_used,errors_made,movement_entropy,fidgeting_score,focus_duration,eye_tracking_score,speaking_turns,emotion_score,engagement_level,instruction_strategy,developmental_prediction
C001,64,M,Low,High,Moderate,C001_S01,2023-03-04,Drawing,3,236.11,True,1,2,0.69,0.06,224.94,0.97,0,0.98,0.69,Visual,On-track
C001,64,M,Low,High,Moderate,C001_S02,2023-05-20,Puzzle,2,162.18,True,0,1,0.36,0.37,153.14,0.89,3,0.22,0.34,Hands-on,On-track
C001,64,M,Low,High,Moderate,C001_S03,2023-01-24,Drawing,2,285.18,False,1,0,0.72,0.44,62.95,0.75,3,-0.38,0.62,Visual,At-risk
C001,64,M,Low,High,Moderate,C001_S04,2023-05-24,Drawing,2,174.63,True,2,3,0.57,0.96,258.02,0.87,6,-0.97,0.54,Hands-on,At-risk
C001,64,M,Low,High,Moderate,C001_S05,2023-04-18,Drawing,1,67.63,True,3,0,0.42,0.12,263.04,0.81,2,-0.35,0.78,Verbal,On-track
C001,64,M,Low,High,Moderate,C001_S06,2023-01-02,Drawing,3,172.76,True,3,1,0.74,0.11,148.62,0.6,7,0.89,0.68,Hands-on,On-track
C001,64,M,Low,High,Moderate,C001_S07,2023-02-09,Drawing,3,56.75,False,3,2,0.83,0.9,115.86,0.56,4,0.02,0.53,Mixed,On-track
C001,64,M,Low,High,Moderate,C001_S08,2023-01-24,Reading,5,210.81,True,0,1,0.6,0.4,47.52,0.63,5,0.95,0.53,Visual,Advanced
C001,64,M,Low,High,Moderate,C001_S09,2023-06-04,Counting,5,110.07,True,1,3,0.43,0.24,246.85,0.74,8,-0.56,0.77,Mixed,At-risk
C001,64,M,Low,High,Moderate,C001_S10,2023-05-18,Puzzle,3,111.11,True,2,3,0.59,0.7,91.71,0.59,8,0.4,0.88,Mixed,On-track
C001,64,M,Low,High,Moderate,C001_S11,2023-05-22,Counting,4,267.26,True,1,2,0.11,0.1,209.15,0.5,5,-0.53,0.46,Mixed,At-risk
C001,64,M,Low,High,Moderate,C001_S12,2023-04-03,Drawing,4,116.28,True,1,3,0.63,0.98,161.42,0.95,6,0.14,0.81,Hands-on,On-track
C001,64,M,Low,High,Moderate,C001_S13,2023-02-28,Counting,1,298.42,True,0,4,0.62,0.98,50.34,0.65,4,0.69,0.94,Mixed,Advanced
C001,64,M,Low,High,Moderate,C001_S14,2023-01-26,Reading,2,188.35,False,0,5,0.36,0.81,248.73,0.93,10,0.16,0.23,Verbal,At-risk
C001,64,M,Low,High,Moderate,C001_S15,2023-04-04,Drawing,1,54.96,False,2,0,0.37,0.54,118.2,0.91,6,-0.72,0.31,Verbal,On-track
C001,64,M,Low,High,Moderate,C001_S16,2023-03-10,Puzzle,2,159.73,True,1,1,0.12,0.96,255.71,0.85,3,0.1,0.77,Hands-on,On-track
C001,64,M,Low,High,Moderate,C001_S17,2023-03-04,Drawing,5,91.18,False,2,1,0.42,0.76,33.89,0.56,1,0.71,0.76,Verbal,On-track
C001,64,M,Low,High,Moderate,C001_S18,2023-06-13,Drawing,4,14.98,True,1,2,0.95,0.89,100.44,0.51,12,0.62,0.86,Hands-on,Advanced
C001,64,M,Low,High,Moderate,C001_S19,2023-01-15,Drawing,4,121.97,False,1,0,0.19,0.02,55.5,0.84,3,0.63,0.43,Mixed,Advanced
C001,64,M,Low,High,Moderate,C001_S20,2023-04-13,Counting,4,210.94,True,1,3,0.61,0.58,227.54,0.56,7,-0.24,0.63,Visual,Advanced
